instance,classifiedAs
1,49
2,37
3,41
4,11
5,6
6,10
7,23
8,18
9,11
10,5
11,11
12,17
13,17
14,32
15,24
16,23
17,22
18,46
19,23
20,40
21,16
22,41
23,2
24,5
25,18
26,26
27,0
28,4
29,50
30,15
31,0
32,23
33,40
34,30
35,42
36,26
37,4
38,40
39,21
40,27
41,11
42,6
43,47
44,11
45,46
46,41
47,24
48,5
49,46
50,37
51,34
52,20
53,7
54,10
55,44
56,41
57,25
58,42
59,42
60,41
61,10
62,0
63,36
64,10
65,7
66,23
67,41
68,11
69,33
70,17
71,43
72,32
73,2
74,23
75,21
76,45
77,27
78,15
79,48
80,15
81,24
82,38
83,8
84,45
85,29
86,49
87,27
88,5
89,40
90,3
91,16
92,27
93,18
94,19
95,45
96,43
97,9
98,26
99,39
100,36
101,5
102,19
103,28
104,9
105,27
106,28
107,41
108,26
109,31
110,50
111,45
112,49
113,28
114,5
115,31
116,21
117,6
118,10
119,12
120,36
121,36
122,12
123,20
124,32
125,45
126,38
127,43
128,12
129,1
130,48
131,35
132,44
133,25
134,50
135,18
136,17
137,23
138,19
139,5
140,46
141,39
142,18
143,43
144,16
145,49
146,32
147,23
148,40
149,25
150,42
151,9
152,42
153,8
154,40
155,21
156,14
157,17
158,17
159,21
160,11
161,36
162,6
163,17
164,1
165,50
166,27
167,49
168,35
169,33
170,37
171,16
172,19
173,23
174,37
175,43
176,9
177,46
178,8
179,0
180,6
181,20
182,12
183,27
184,2
185,38
186,37
187,13
188,5
189,47
190,0
191,28
192,0
193,19
194,31
195,35
196,13
197,6
198,47
199,1
200,34
201,10
202,34
203,3
204,20
205,33
206,5
207,16
208,46
209,0
210,4
211,41
212,15
213,4
214,29
215,41
216,39
217,30
218,23
219,4
220,0
221,18
222,47
223,8
224,4
225,31
226,38
227,44
228,47
229,34
230,36
231,29
232,41
233,40
234,20
235,35
236,21
237,29
238,31
239,27
240,39
241,11
242,42
243,2
244,33
245,30
246,47
247,28
248,2
249,27
250,40
251,5
252,20
253,19
254,0
255,25
256,2
257,0
258,40
259,49
260,16
261,17
262,21
263,20
264,27
265,7
266,31
267,12
268,2
269,19
270,50
271,49
272,42
273,47
274,39
275,24
276,11
277,2
278,8
279,44
280,37
281,2
282,35
283,41
284,40
285,49
286,15
287,35
288,3
289,36
290,5
291,34
292,7
293,10
294,27
295,25
296,25
297,15
298,29
299,26
300,49
301,42
302,5
303,32
304,26
305,38
306,0
307,48
308,24
309,41
310,33
311,32
312,40
313,11
314,12
315,23
316,41
317,9
318,12
319,40
320,43
321,47
322,0
323,47
324,50
325,21
326,47
327,15
328,47
329,4
330,21
331,35
332,13
333,28
334,45
335,17
336,33
337,40
338,2
339,49
340,2
341,46
342,3
343,45
344,34
345,40
346,34
347,28
348,8
349,47
350,11
351,2
352,1
353,2
354,11
355,2
356,40
357,31
358,8
359,40
360,21
361,27
362,13
363,15
364,45
365,2
366,15
367,34
368,34
369,28
370,15
371,9
372,6
373,2
374,19
375,1
376,37
377,22
378,12
379,29
380,36
381,13
382,14
383,10
384,23
385,25
386,50
387,19
388,10
389,16
390,17
391,10
392,1
393,5
394,19
395,31
396,12
397,16
398,11
399,23
400,34
401,9
402,14
403,46
404,30
405,33
406,6
407,50
408,14
409,17
410,15
411,12
412,41
413,21
414,31
415,30
416,21
417,13
418,19
419,15
420,3
421,6
422,48
423,16
424,47
425,31
426,12
427,17
428,15
429,12
430,2
431,24
432,0
433,41
434,18
435,1
436,47
437,42
438,11
439,14
440,25
441,28
442,49
443,21
444,4
445,29
446,34
447,35
448,21
449,2
450,5
451,14
452,26
453,4
454,25
455,11
456,47
457,26
458,34
459,5
460,18
461,26
462,7
463,1
464,40
465,38
466,1
467,39
468,37
469,11
470,43
471,43
472,46
473,46
474,27
475,39
476,3
477,25
478,17
479,12
480,20
481,33
482,50
483,30
484,21
485,40
486,10
487,23
488,41
489,38
490,7
491,48
492,42
493,20
494,43
495,33
496,1
497,17
498,8
499,46
500,42
501,11
502,41
503,44
504,0
505,14
506,42
507,16
508,48
509,31
510,21
511,40
512,30
513,28
514,21
