instance,predictedAs
1,5.0
2,1.0
3,2.0
4,8.0
5,8.0
6,6.0
7,7.0
8,4.0
9,3.0
10,2.0
11,5.0
12,4.0
13,9.0
14,9.0
15,1.0
16,8.0
17,4.0
18,4.0
19,5.0
20,1.0
21,5.0
22,0.0
23,4.0
24,5.0
25,8.0
26,9.0
27,6.0
28,1.0
29,8.0
30,9.0
31,0.0
32,0.0
33,9.0
34,9.0
35,1.0
36,5.0
37,4.0
38,3.0
39,9.0
40,5.0
41,9.0
42,1.0
43,8.0
44,0.0
45,9.0
46,1.0
47,1.0
48,0.0
49,1.0
50,9.0
51,5.0
52,0.0
53,1.0
54,1.0
55,5.0
56,5.0
57,8.0
58,1.0
59,0.0
60,7.0
61,9.0
62,1.0
63,4.0
64,1.0
65,5.0
66,9.0
67,3.0
68,9.0
69,9.0
70,5.0
71,4.0
72,1.0
73,9.0
74,5.0
75,4.0
76,1.0
77,1.0
78,6.0
79,9.0
80,1.0
81,9.0
82,1.0
83,1.0
84,9.0
85,1.0
86,9.0
87,1.0
88,5.0
89,0.0
90,1.0
91,0.0
92,9.0
93,9.0
94,5.0
95,9.0
96,0.0
97,1.0
98,0.0
99,2.0
100,0.0
101,4.0
102,0.0
103,0.0
104,8.0
105,4.0
106,9.0
107,1.0
108,9.0
109,1.0
110,0.0
111,8.0
112,8.0
113,4.0
114,0.0
115,9.0
116,1.0
117,1.0
118,1.0
119,5.0
120,9.0
121,1.0
122,1.0
123,9.0
124,1.0
125,0.0
126,1.0
127,9.0
128,9.0
129,3.0
130,9.0
131,0.0
132,4.0
133,1.0
134,9.0
135,9.0
136,9.0
137,8.0
138,5.0
139,9.0
140,5.0
141,9.0
142,0.0
143,9.0
144,1.0
145,9.0
146,1.0
147,1.0
148,5.0
149,2.0
150,5.0
151,5.0
152,9.0
153,4.0
154,5.0
155,9.0
156,5.0
157,0.0
158,1.0
159,0.0
160,4.0
161,8.0
162,8.0
163,4.0
164,2.0
165,5.0
166,5.0
167,1.0
168,4.0
169,8.0
170,1.0
171,0.0
172,8.0
173,4.0
174,1.0
175,8.0
176,8.0
177,8.0
178,8.0
179,0.0
180,4.0
181,9.0
182,4.0
183,9.0
184,9.0
185,1.0
186,1.0
187,8.0
188,6.0
189,1.0
190,9.0
191,8.0
192,4.0
193,9.0
194,5.0
195,0.0
196,0.0
197,1.0
198,9.0
199,9.0
200,8.0
201,4.0
202,5.0
203,8.0
204,4.0
205,6.0
206,9.0
207,0.0
208,1.0
209,1.0
210,5.0
211,1.0
212,0.0
213,1.0
214,4.0
215,0.0
216,8.0
217,1.0
218,9.0
219,1.0
220,3.0
221,9.0
222,5.0
223,1.0
224,5.0
225,5.0
226,1.0
227,5.0
228,3.0
229,0.0
230,4.0
231,8.0
232,0.0
233,1.0
234,1.0
235,6.0
236,5.0
237,1.0
238,1.0
239,0.0
240,9.0
241,9.0
242,1.0
243,4.0
244,6.0
245,3.0
246,5.0
247,9.0
248,9.0
249,2.0
250,8.0
251,9.0
252,0.0
253,2.0
254,4.0
255,4.0
256,9.0
257,8.0
258,9.0
259,0.0
260,4.0
261,9.0
262,9.0
263,3.0
264,5.0
265,0.0
266,1.0
267,0.0
268,1.0
269,9.0
270,0.0
271,1.0
272,6.0
273,5.0
274,1.0
275,0.0
276,0.0
277,7.0
278,5.0
279,5.0
280,9.0
281,9.0
282,0.0
283,0.0
284,1.0
285,1.0
286,4.0
287,3.0
288,8.0
289,5.0
290,4.0
291,8.0
292,0.0
293,9.0
294,4.0
295,8.0
296,9.0
297,1.0
298,8.0
299,5.0
300,4.0
301,9.0
302,1.0
303,1.0
304,0.0
305,9.0
306,1.0
307,9.0
308,5.0
309,9.0
310,4.0
311,5.0
312,1.0
313,1.0
314,0.0
315,5.0
316,0.0
317,1.0
318,4.0
319,1.0
320,5.0
321,9.0
322,1.0
323,0.0
324,1.0
325,9.0
326,1.0
327,7.0
328,4.0
329,5.0
330,0.0
331,5.0
332,9.0
333,2.0
334,5.0
335,1.0
336,1.0
337,1.0
338,8.0
339,4.0
340,4.0
341,6.0
342,8.0
343,5.0
344,1.0
345,0.0
346,1.0
347,5.0
348,0.0
349,0.0
350,5.0
351,1.0
352,0.0
353,9.0
354,8.0
355,6.0
356,1.0
357,4.0
358,8.0
359,8.0
360,5.0
361,1.0
362,5.0
363,8.0
